cuadro,vital_event,dim1_name,dim1_value,dim2_name,dim2_value,value,anomaly,sex
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,45-49,18,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,50-54,45,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,55-59,39,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,60-64,58,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,65-69,62,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,70-74,96,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,75-79,82,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,80-84,69,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,85 y mas,155,,both
2.6,death,geography,María Trinidad Sánchez,deceased_age_band,No declarada,0,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,TOTAL,667,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,Menos de un ano,13,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,1-4,2,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,5-9,1,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,10-14,3,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,15-19,4,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,20-24,10,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,25-29,7,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,30-34,19,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,35-39,17,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,40-44,13,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,45-49,21,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,50-54,20,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,55-59,42,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,60-64,52,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,65-69,64,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,70-74,72,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,75-79,63,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,80-84,83,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,85 y mas,160,,both
2.6,death,geography,Hermanas Mirabal,deceased_age_band,No declarada,1,,both
2.6,death,geography,Samaná,deceased_age_band,TOTAL,515,,both
2.6,death,geography,Samaná,deceased_age_band,Menos de un ano,2,,both
2.6,death,geography,Samaná,deceased_age_band,1-4,1,,both
2.6,death,geography,Samaná,deceased_age_band,5-9,2,,both
2.6,death,geography,Samaná,deceased_age_band,10-14,2,,both
2.6,death,geography,Samaná,deceased_age_band,15-19,6,,both
2.6,death,geography,Samaná,deceased_age_band,20-24,12,,both
2.6,death,geography,Samaná,deceased_age_band,25-29,4,,both
2.6,death,geography,Samaná,deceased_age_band,30-34,12,,both
2.6,death,geography,Samaná,deceased_age_band,35-39,13,,both
2.6,death,geography,Samaná,deceased_age_band,40-44,18,,both
2.6,death,geography,Samaná,deceased_age_band,45-49,14,,both
2.6,death,geography,Samaná,deceased_age_band,50-54,26,,both
2.6,death,geography,Samaná,deceased_age_band,55-59,33,,both
2.6,death,geography,Samaná,deceased_age_band,60-64,33,,both
2.6,death,geography,Samaná,deceased_age_band,65-69,51,,both
2.6,death,geography,Samaná,deceased_age_band,70-74,54,,both
2.6,death,geography,Samaná,deceased_age_band,75-79,51,,both
2.6,death,geography,Samaná,deceased_age_band,80-84,72,,both
2.6,death,geography,Samaná,deceased_age_band,85 y mas,103,,both
2.6,death,geography,Samaná,deceased_age_band,No declarada,6,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,TOTAL,1954,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,Menos de un ano,7,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,1-4,4,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,5-9,2,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,10-14,2,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,15-19,14,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,20-24,42,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,25-29,45,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,30-34,43,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,35-39,45,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,40-44,46,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,45-49,64,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,50-54,89,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,55-59,109,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,60-64,142,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,65-69,173,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,70-74,205,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,75-79,224,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,80-84,215,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,85 y mas,480,,both
2.6,death,geography,Región Cibao Noroeste,deceased_age_band,No declarada,3,,both
2.6,death,geography,Dajabón,deceased_age_band,TOTAL,340,,both
2.6,death,geography,Dajabón,deceased_age_band,Menos de un ano,2,,both
2.6,death,geography,Dajabón,deceased_age_band,1-4,2,,both
2.6,death,geography,Dajabón,deceased_age_band,5-9,0,,both
2.6,death,geography,Dajabón,deceased_age_band,10-14,0,,both
2.6,death,geography,Dajabón,deceased_age_band,15-19,2,,both
2.6,death,geography,Dajabón,deceased_age_band,20-24,5,,both
2.6,death,geography,Dajabón,deceased_age_band,25-29,10,,both
2.6,death,geography,Dajabón,deceased_age_band,30-34,8,,both
2.6,death,geography,Dajabón,deceased_age_band,35-39,9,,both
2.6,death,geography,Dajabón,deceased_age_band,40-44,6,,both
2.6,death,geography,Dajabón,deceased_age_band,45-49,9,,both
2.6,death,geography,Dajabón,deceased_age_band,50-54,16,,both
2.6,death,geography,Dajabón,deceased_age_band,55-59,20,,both
2.6,death,geography,Dajabón,deceased_age_band,60-64,26,,both
